time_s,radius_m,max_C,max_radius_m,mean_C,T_surface_C,C_surface,T_r0.0cm_C,T_r0.1cm_C,T_r0.2cm_C,T_r0.3cm_C,T_r0.4cm_C,T_r0.5cm_C,T_r0.6cm_C,T_r0.7cm_C,T_r0.8cm_C,T_r0.9cm_C,T_r1.0cm_C,T_r1.1cm_C,T_r1.2cm_C,T_r1.3cm_C,T_r1.4cm_C,T_r1.5cm_C,T_r1.6cm_C,T_r1.7cm_C,T_r1.8cm_C,T_r1.9cm_C,T_r2.0cm_C,C_r0.0cm,C_r0.1cm,C_r0.2cm,C_r0.3cm,C_r0.4cm,C_r0.5cm,C_r0.6cm,C_r0.7cm,C_r0.8cm,C_r0.9cm,C_r1.0cm,C_r1.1cm,C_r1.2cm,C_r1.3cm,C_r1.4cm,C_r1.5cm,C_r1.6cm,C_r1.7cm,C_r1.8cm,C_r1.9cm,C_r2.0cm
0,0.02,2.5499999999999998,0,2.5499999999999998,28,2.5499999999999998,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
60,0.019957666666666669,2.5500000000000029,0.0023866902650342627,2.5394070001184836,28.074842076707263,2.0794273405626766,28.000000000001151,28.000000000003112,28.00000000001819,28.000000000114973,28.000000000703924,28.000000004051948,28.000000021666697,28.000000107005263,28.000000486712153,28.00000203635414,28.000007834971793,28.00002773406807,28.00009040728284,28.000271785208444,28.000754880938082,28.001941461486783,28.004635635992276,28.010306567326342,28.021408818218575,28.041700656671161,,2.5500000000000016,2.5499999999999998,2.5499999999999994,2.5499999999999976,2.5500000000000007,2.5500000000000016,2.5499999999999998,2.5500000000000007,2.5500000000000016,2.5500000000000007,2.550000000000002,2.5499999999999989,2.5500000000000007,2.550000000000002,2.5500000000000003,2.5499999999999985,2.5500000000000003,2.5500000000000012,2.5499999961708482,2.5486375135367432,
120,0.019915333333333333,2.550000000000002,0.0023754968882179388,2.5298979399020283,28.223858529058042,1.9230008917652757,28.000000320091587,28.000000442071915,28.000000926856451,28.000002234358067,28.000005545801383,28.00001366135924,28.000032919684109,28.000077069383501,28.000174674126061,28.000382549114221,28.000808884326968,28.001650986839962,28.003253714398433,28.006195246160019,28.011406178028661,28.020325076138921,28.035087438208958,28.05873481538104,28.095417630867185,28.150566210521905,,2.5500000000000016,2.5499999999999985,2.549999999999998,2.5499999999999985,2.5500000000000012,2.5500000000000012,2.5499999999999989,2.5499999999999989,2.550000000000002,2.5499999999999998,2.5500000000000012,2.549999999999998,2.5500000000000003,2.5500000000000012,2.5500000000000003,2.5499999999999994,2.5499999999999998,2.5499999990757614,2.5499713403615187,2.5268685554606876,
180,0.019873000000000002,2.5500000000000012,0.0080105926095226064,2.5209901977000531,28.394044909069049,1.815833857970516,28.000032369821042,28.000038126301146,28.000057886492257,28.000100016874438,28.000181654833213,28.000334256315874,28.000612921295648,28.001111128217012,28.00198300069091,28.003475593614141,28.005973707987138,28.010059088610998,28.016584096511149,28.026756710773796,28.042229062533554,28.065176637707811,28.098352035738703,28.145098633515961,28.209317889727686,28.295478368315212,,2.5500000000000016,2.5499999999999985,2.5499999999999994,2.5499999999999989,2.5500000000000012,2.5500000000000025,2.5499999999999985,2.5499999999999989,2.5500000000000025,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5499999999999994,2.5500000000000003,2.5500000000000003,2.5499999999999994,2.54999999995144,2.5499993563626786,2.5493019873597746,2.4792052888176013,
240,0.019830666666666667,2.550000000000002,0.0080302606132331891,2.5125192846711863,28.558464028693351,1.7331877578178534,28.000404244000439,28.000447669681112,28.00058884141815,28.00086251978324,28.001333740633584,28.002109069868435,28.003353461472177,28.005313563691754,28.008348160665342,28.012965939225882,28.019869837130624,28.030005778603609,28.044611604307534,28.065259567560439,28.093883346686933,28.13277914734774,28.184571783665028,28.252142291061045,28.338527704160178,28.447033077692485,,2.5500000000000016,2.5499999999999985,2.5499999999999989,2.549999999999998,2.5499999999999989,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000016,2.5499999999999994,2.5499999999999994,2.5499999999999994,2.5499999999999985,2.5500000000000012,2.5499999999999994,2.5499999999982688,2.5499999850990811,2.5499809911085527,2.5461967741026919,2.416239011212904,
300,0.019788333333333335,2.5500000000000012,0.0080382745408904936,2.5043930513957018,28.788565369313275,1.6661136250511992,28.002086124352822,28.002238753752298,28.002721416911612,28.003611082002095,28.005044847055505,28.007233157562503,28.010478179443041,28.015196950182563,28.02194853780772,28.031463989439491,28.044677602806527,28.062758510795884,28.087143472874995,28.11957577502233,28.162160995455118,28.217455767802502,28.28860565023183,28.379537136616221,28.495201199239514,28.642283162258707,,2.5500000000000012,2.5499999999999985,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000016,2.5499999999999985,2.5500000000000007,2.5499999999999994,2.5499999999999985,2.5500000000000007,2.5499999999999461,2.5499999996499412,2.5499995037886514,2.5498455682571661,2.5388859260726111,2.3455123736253842,
360,0.019746,2.5500000000000016,0.0079621716512458633,2.4965492443262933,29.020528718084051,1.6098223110724317,28.00666935073782,28.007024313127872,28.008128810159651,28.01010411622396,28.013160457810027,28.01760902012245,28.023878527309648,28.032536330122198,28.044314150845338,28.060138960995623,28.081169717504931,28.108840405954101,28.144908296661484,28.191502752461375,28.251164284464984,28.326857526645508,28.421939357926018,28.540070415465795,28.685122990357989,28.861863554542939,,2.5500000000000012,2.549999999999998,2.5499999999999989,2.5499999999999989,2.5499999999999994,2.5500000000000012,2.5499999999999994,2.549999999999998,2.5500000000000025,2.5499999999999985,2.5499999999999994,2.5499999999999998,2.5500000000000007,2.5499999999999989,2.5499999999917158,2.5499999873276917,2.5499946239441229,2.5493496035153553,2.5264641679944626,2.2712036051029862,
420,0.019703666666666668,2.5500000000000012,0.0079879777590953181,2.4889448801538503,29.260332932054119,1.5613426696438228,28.015908970243476,28.016557404376304,28.018556315990821,28.022068940598508,28.027375355569717,28.034884465350082,28.045150640242642,28.058894718086567,28.077028747819202,28.100683322066548,28.131235628739883,28.170335589039851,28.219926942656063,28.282260300904401,28.359896333064597,28.455699283163131,28.572823219465789,28.714697951976234,28.885119573041088,29.089468467974491,,2.5500000000000007,2.549999999999998,2.5499999999999989,2.5499999999999989,2.5499999999999994,2.5500000000000003,2.5499999999999985,2.5499999999999985,2.5500000000000007,2.5499999999999989,2.5499999999999994,2.5499999999999994,2.5500000000000003,2.5499999999998044,2.5499999996808689,2.5499998295723341,2.5499695518615138,2.5481312179337148,2.5087989183436608,2.1957971825451938,
480,0.019661333333333333,2.550000000000002,0.007998450791635265,2.4815476904601916,29.479688577052194,1.5187792612631932,28.031496489107468,28.032527481279324,28.035687750497839,28.041181332340674,28.04935538423458,28.060710496643772,28.075914427575803,28.09581850121516,28.121475628819933,28.154158581122562,28.19537670220241,28.246888543802722,28.310706659636445,28.389088843036816,28.484507719521567,28.599589163183214,28.737012204105334,28.899380545995506,29.089255748767609,29.310598724628008,,2.5500000000000007,2.5499999999999994,2.5499999999999989,2.549999999999998,2.5499999999999989,2.5500000000000007,2.5499999999999994,2.5499999999999989,2.5500000000000016,2.549999999999998,2.5499999999999994,2.5500000000000003,2.5499999999999954,2.5499999999920506,2.549999994922854,2.5499987717065951,2.5498855844286896,2.5457909054397718,2.4862175125054726,2.1207109748713644,
540,0.019619000000000001,2.5500000000000012,0.0079725233186281348,2.4743329291636478,29.732557233294486,1.4810938382794046,28.055063269608716,28.056558484385686,28.061122758848761,28.06899355206394,28.080571717751067,28.096428634969485,28.117315147742772,28.144171188824092,28.178134563812829,28.22054702571506,28.272955695004327,28.337108494783486,28.414944163888968,28.508581051220084,28.620313953502517,28.7526327691894,28.908277520152364,29.09035606652489,29.302775748891925,29.55235397559326,,2.5500000000000007,2.5499999999999989,2.5499999999999998,2.5499999999999989,2.5499999999999998,2.5500000000000003,2.549999999999998,2.5499999999999985,2.5500000000000003,2.5499999999999985,2.5499999999999989,2.5499999999999989,2.549999999999804,2.5499999998553116,2.5499999553726553,2.5499941805855184,2.549674062814927,2.5419654469488551,2.4592712725888162,2.0467583970843428,
600,0.019576666666666666,2.5500000000000016,0.0079484063064370405,2.4672792670440034,29.993635725370318,1.4474919163212843,28.087984579843692,28.090006146353605,28.096156891453802,28.106695737193771,28.122056717001055,28.142852320468528,28.169877464075597,28.204113589732835,28.246732558354285,28.299100359143022,28.362781106932584,28.439542098823708,28.531360428624534,28.640430372339647,28.769168366462345,28.920209679055176,29.096391320673799,29.30075545146364,29.536938365977012,29.8114871127096,,2.5500000000000007,2.5499999999999985,2.5499999999999989,2.5499999999999985,2.5499999999999998,2.5500000000000007,2.5499999999999989,2.5499999999999985,2.5500000000000012,2.5499999999999989,2.5499999999999989,2.5499999999999954,2.5499999999960119,2.5499999984986159,2.5499997417491955,2.5499794951663177,2.5492367881705049,2.5363660102268324,2.4285527604969697,1.974361199391691,
